"Source:","C:\Users\ghost\Desktop\GN\DC MOTOR DRIVER\KiCAD\DCMotorDriver\DCMotorDriver.kicad_sch"
"Date:","10/6/2022 6:25:36 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","24"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"7","1","IC1","IXDN609PI","IXDN609PI:IXDN609PI","Package_DIP:DIP-8_W7.62mm","http://www.ixysic.com/home/pdfs.nsf/www/IXD_609.pdf/$file/IXD_609.pdf","IXDN609PI","https://www.arrow.com/en/products/ixdn609pi/littelfuse?region=nac","Gate Drivers 9-Ampere Low-Side Ultrafast MOSFET","4.064","LITTELFUSE","IXDN609PI","849-IXDN609PI","https://www.mouser.co.uk/ProductDetail/IXYS-Integrated-Circuits/IXDN609PI?qs=8uBHJDVwVqxYtGF1oyTFaw%3D%3D"
"8","1","J1","DC motor","Connector:Conn_01x02_Female","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical","~","","","","","","","",""
"9","1","J2","Control circuit power supply connector","Connector:Conn_01x02_Female","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical","~","","","","","","","",""
"10","1","J3","Power supply connector for the motor","Connector:Conn_01x02_Female","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical","~","","","","","","","",""
"11","1","Q1","IRFZ44E","Device:Q_NMOS_DGS","Package_TO_SOT_THT:TO-220-3_Vertical","~","","","","","","","",""
"12","1","R1","2.2 / 1W","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","","","",""
"13","1","R2","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","",""
"14","1","R3","1.2k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","",""
"15","1","R4","5,6k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","",""
"16","1","R5","740","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","",""
"17","1","RV1","47k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_T-16H_Single_Horizontal","~","","","","","","","",""
"18","1","SW1","SW_SPDT","Switch:SW_SPDT","Mikrokapcsolo:SW_MS0850502F030P1A","~","","","","","","","",""
"19","1","U1","TLC555xP","Timer:TLC555xP","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/tlc555.pdf","","","","","","","",""
